seed,gt_map,s,along_track_err_m,lateral_err_m,num_inliers,residual,lambda_along_raw,lambda_along_cal,lambda_min_raw,lambda_min_cal,ratio
0,0,24.5,-0.2748877901987896,0.002945398256585156,1034,10.212464017733328,582.9466455411662,58680.17263764397,582.7217505766928,58657.53441604757,0.0018017140321288654
0,0,25.0,-0.28981650386576163,0.0028479438528903212,968,12.67938777086296,528.8819925762496,40126.89619190692,528.7447155116887,40116.48082024276,0.0016255280370871096
0,0,25.5,-0.30542801422977206,0.0033042193764886802,1072,11.503293037239354,639.363388345261,59249.240175803985,638.9536746717536,59211.27237175474,0.0019628400884723726
0,0,26.0,-0.29709006536522153,0.00416385693492497,961,10.199132736652315,530.5514778475234,49678.40643190732,530.3673840153416,49661.168730009216,0.001642756751517201
0,0,26.5,-0.3231681489785281,0.003353032262598505,1044,14.087895099067353,602.6097795111791,44400.454910685265,602.4982570337579,44392.237903762005,0.0018501854928901136
0,0,27.0,-0.33210509788954923,0.004269232873554968,983,12.442628069694571,540.1321950041853,42411.39022747006,540.1266001930156,42410.95092071893,0.0016810272832671602
0,0,27.5,-0.34125472029767323,0.0034954345523980825,1019,10.724451863970987,572.7957046484714,54104.587923811414,572.7691731631613,54102.08183818951,0.0017419993066978914
0,0,28.0,-0.34543172634029773,0.00422430144343293,1032,12.895990487522182,578.8612690229296,46053.97798580721,578.228525815949,46003.63718174177,0.001779590954266745
0,0,28.5,-0.3670227101195813,0.00364177646949566,981,11.098796239726063,550.8587358461859,48391.488216319165,550.8440732538492,48390.20014622403,0.001708020173901515
0,0,29.0,-0.3738760475411489,0.003124460381214255,983,11.92037174275048,539.3594227863626,44206.18479308331,538.9161082963383,44169.85050199737,0.0016533655264566337
0,0,29.5,-0.3768818335890387,0.004032936133959454,974,12.292972272800347,536.9461513570237,42281.38345871307,536.8620441308987,42274.76050430608,0.001645447446584958
0,0,30.0,-0.3816006049661098,0.0030986059835517925,1015,10.211778816183445,562.7950251301951,55608.35096197267,562.7104135690038,55599.99070791911,0.0017187664653707491
0,0,30.5,-0.3849204309208183,0.0036502866400214043,1062,13.05426906366688,643.1821371261093,52028.982510828326,643.136272680872,52025.272394702,0.001977934613305447
0,0,31.0,-0.3953404014230344,0.003146624213402127,1000,12.854716265936379,551.8608427239753,42673.02881832012,551.8567281755214,42672.71065795947,0.0016951885317920358
0,0,31.5,-0.3882980747133935,0.004245679464639818,1025,10.49064714679585,598.0763807781781,58093.63554841364,598.0648015328452,58092.51080836385,0.0018216717544892226
0,0,32.0,-0.4232026873847978,0.0029886339665110614,1075,11.759428257716309,629.5668461223414,57231.26530944809,629.5570995646309,57230.379291015546,0.0019223948581005006
0,0,32.5,-0.43092729405184826,0.004412746190387372,993,12.376323075236154,546.1135822174534,43552.03903226658,545.9104218262303,43535.83718419601,0.0016888100699223839
0,0,33.0,-0.42797589320699103,0.003433884999213291,968,12.027640518532296,531.5501549257424,42514.6767772673,531.3203828669031,42496.29904804743,0.00165333443687322
0,0,33.5,-0.44278877520898163,0.002609464239390924,996,12.113242368394356,570.5597734597094,46631.12967993764,570.4439936237952,46621.667140175865,0.0017417501152493583
0,0,34.0,-0.44702222737262076,0.0029893166600187633,1082,16.402677127590945,655.2666077543458,42984.865486237184,655.0044160706229,42967.66596145892,0.0020013230576043342
0,0,34.5,-0.43901298400565025,0.0031748256517313343,1048,16.25993852375263,596.1450720558748,38203.29112405886,595.7744199701523,38179.53829911683,0.0018109407364451191
0,0,35.0,-0.43016537526360565,0.0025547842467143022,995,10.555819896574835,562.365736578233,52689.39020609307,562.3095628198772,52684.12715238827,0.001710559693975255
0,0,35.5,-0.4318513571958462,0.0030379231325195896,995,12.227005163723259,551.3946502934901,44600.39902152155,551.3476511347989,44596.597422738916,0.001668448165663773
0,0,36.0,-0.42501164477972964,0.002947478823926731,989,11.1238252742657,537.2617578621941,47477.2207363172,537.173026135879,47469.37961288913,0.0016435218241032004
