platform,policy,seed,world,length_m,range_scale,odom_scale,marker_height_m,fov_deg,sensor_range_m,odom_scale_sigma,ratio_threshold,final_along_m,final_lateral_m,final_rot_rad,markers_placed,path_length_m,mission_time_s,blind_fraction,mean_yaw_rate_dps,glance_fraction,scale_estimate,lead_time_median_s,lead_time_n,wall_time_s
drone,sweep,4,blind,300.0,1.0,1.0,1.0,90.0,30.0,0.02,0.0028264114279125683,2.789807164938019,3.4722656413618442,0.005519289180196629,0,300.0,300.5,0.8530884808013356,11.787314834920123,nan,1.0,4.0,1,78.96045470237732
drone,sweep,6,blind,300.0,1.0,1.0,1.0,90.0,30.0,0.02,0.0028264114279125683,3.7191566326428602,4.756912936210054,0.009637962788478954,0,300.0,300.5,0.8046744574290484,12.190008696089539,nan,1.0,4.0,1,77.00762057304382
drone,sweep,7,blind,300.0,1.0,1.0,1.0,90.0,30.0,0.02,0.0028264114279125683,0.47885812523606236,1.401921622666187,0.0023524575272236433,0,300.0,300.5,0.8230383973288815,11.90174563166079,nan,1.0,4.0,1,79.3883330821991
drone,greedy,1,blind,300.0,1.0,1.0,1.0,90.0,30.0,0.02,0.0028264114279125683,8.327698314923673,5.964699020352095,0.029746942538273913,0,300.0,300.5,0.9499165275459098,5.300000000000001,nan,1.0,6.0,1,132.28010368347168
drone,greedy,0,blind,300.0,1.0,1.0,1.0,90.0,30.0,0.02,0.0028264114279125683,16.093770724514627,7.16654237980002,0.025684647587099478,0,300.0,300.5,0.9465776293823038,5.725000000000001,nan,1.0,4.0,1,137.68402123451233
drone,greedy,2,blind,300.0,1.0,1.0,1.0,90.0,30.0,0.02,0.0028264114279125683,19.699358737537516,15.191637983809825,0.026400574143490785,0,300.0,300.5,0.8898163606010017,9.975000000000001,nan,1.0,4.0,1,141.97236132621765
drone,greedy,3,blind,300.0,1.0,1.0,1.0,90.0,30.0,0.02,0.0028264114279125683,11.337042953696198,0.7662203746759362,0.012186700764567246,0,300.0,300.5,0.8647746243739566,4.049999999999999,nan,1.0,3.5,1,140.71687817573547
drone,greedy,5,blind,300.0,1.0,1.0,1.0,90.0,30.0,0.02,0.0028264114279125683,14.28949299359313,12.4899558415602,0.032374395526562495,0,300.0,300.5,0.9282136894824707,6.675000000000002,nan,1.0,4.0,1,131.5162250995636
drone,greedy,4,blind,300.0,1.0,1.0,1.0,90.0,30.0,0.02,0.0028264114279125683,9.187341385171706,5.159808909605903,0.014271630320197005,0,300.0,300.5,0.9449081803005008,6.400000000000001,nan,1.0,4.0,1,135.6879062652588
drone,greedy,7,blind,300.0,1.0,1.0,1.0,90.0,30.0,0.02,0.0028264114279125683,32.94624006283607,20.498293428128637,0.018490853861194,0,300.0,300.5,0.8297161936560935,15.549999999999999,nan,1.0,4.0,1,131.82666087150574
drone,greedy,6,blind,300.0,1.0,1.0,1.0,90.0,30.0,0.02,0.0028264114279125683,5.488428632391454,2.7388491186790045,0.00984491514446545,0,300.0,300.5,0.8480801335559266,3.0249999999999995,nan,1.0,4.0,1,138.04553627967834
drone,greedy_forward,0,blind,300.0,1.0,1.0,1.0,90.0,30.0,0.02,0.0028264114279125683,0.14330567072481964,0.6957489530422042,0.00777251992008236,0,300.0,300.5,0.9332220367278798,2.2249999999999996,nan,1.0,4.0,1,125.37784886360168
drone,greedy_forward,1,blind,300.0,1.0,1.0,1.0,90.0,30.0,0.02,0.0028264114279125683,2.0802929442310685,0.5463070929587952,0.004933885008385425,0,300.0,300.5,0.8964941569282137,2.3749999999999996,nan,1.0,6.0,1,122.50834655761719
drone,greedy_forward,3,blind,300.0,1.0,1.0,1.0,90.0,30.0,0.02,0.0028264114279125683,11.324605717835482,0.7713588357859248,0.01080582302757697,0,300.0,300.5,0.8397328881469115,3.8,nan,1.0,3.5,1,120.27603816986084
drone,greedy_forward,2,blind,300.0,1.0,1.0,1.0,90.0,30.0,0.02,0.0028264114279125683,0.9686778042049013,0.1758748808471948,0.0034437733032976325,0,300.0,300.5,0.9282136894824707,2.325,nan,1.0,4.0,1,132.52318501472473
drone,greedy_forward,4,blind,300.0,1.0,1.0,1.0,90.0,30.0,0.02,0.0028264114279125683,3.6163181870121672,1.697087833061728,0.012231982716056444,0,300.0,300.5,0.9248747913188647,2.0249999999999995,nan,1.0,4.0,1,121.63545894622803
drone,greedy_forward,5,blind,300.0,1.0,1.0,1.0,90.0,30.0,0.02,0.0028264114279125683,4.281450691836214,2.2402232307385175,0.014653400461444449,0,300.0,300.5,0.8981636060100167,3.675,nan,1.0,4.0,1,127.7634527683258
drone,greedy_forward,6,blind,300.0,1.0,1.0,1.0,90.0,30.0,0.02,0.0028264114279125683,6.1125681896325545,0.4928803419418447,0.007541614141552816,0,300.0,300.5,0.8547579298831386,3.05,nan,1.0,4.0,1,119.90467691421509
drone,greedy_forward,7,blind,300.0,1.0,1.0,1.0,90.0,30.0,0.02,0.0028264114279125683,0.17661636470781464,0.2679996873534694,0.006838841722999944,0,300.0,300.5,0.9148580968280468,3.125,nan,1.0,4.0,1,120.73782324790955
drone,glance,0,blind,300.0,1.0,1.0,1.0,90.0,30.0,0.02,0.0028264114279125683,0.37736917664089453,0.6411954123074054,0.01376455784261224,0,300.0,300.5,0.9515859766277128,1.641512868355641,0.021666666666666667,1.0,4.0,1,142.3451690673828
