platform,policy,seed,world,length_m,range_scale,odom_scale,marker_height_m,fov_deg,sensor_range_m,odom_scale_sigma,ratio_threshold,final_along_m,final_lateral_m,final_rot_rad,markers_placed,path_length_m,mission_time_s,blind_fraction,mean_yaw_rate_dps,glance_fraction,scale_estimate,lead_time_median_s,lead_time_n,wall_time_s
ugv,uniform_8m,1,blind,300.0,1.0,1.0,1.0,360.0,10.0,0.02,0.0018445884928346022,1.1845846252878118,1.4659320152173712,0.042225268891887886,36,300.0,300.5,0.7646076794657763,0.0,nan,0.9984016331154743,0.0,1,25.56128692626953
ugv,uniform_8m,2,blind,300.0,1.0,1.0,1.0,360.0,10.0,0.02,0.0018445884928346022,1.0328831470753244,1.5603576069308815,0.07179876472179596,36,300.0,300.5,0.6510851419031719,0.0,nan,1.0002286317056805,0.0,1,25.531916856765747
ugv,uniform_8m,3,blind,300.0,1.0,1.0,1.0,360.0,10.0,0.02,0.0018445884928346022,0.3392110010711349,1.3400812498974184,0.06912825725966212,37,300.0,300.5,0.6410684474123539,0.0,nan,1.012068225652794,0.0,1,25.78058671951294
ugv,uniform_8m,4,blind,300.0,1.0,1.0,1.0,360.0,10.0,0.02,0.0018445884928346022,2.119700881787878,1.721620634519074,0.015558638998146605,36,300.0,300.5,0.7963272120200334,0.0,nan,0.9979704238567737,0.0,1,25.321930646896362
ugv,uniform_8m,5,blind,300.0,1.0,1.0,1.0,360.0,10.0,0.02,0.0018445884928346022,1.9362908745236496,0.274820323296026,0.011771906920499226,36,300.0,300.5,0.7045075125208681,0.0,nan,0.9942292066168641,0.0,1,25.636746168136597
ugv,uniform_8m,6,blind,300.0,1.0,1.0,1.0,360.0,10.0,0.02,0.0018445884928346022,1.4037224415965852,1.3152498363906189,0.010513011331986434,36,300.0,300.5,0.8247078464106845,0.0,nan,1.0108189073253426,0.0,1,25.38078260421753
ugv,uniform_8m,7,blind,300.0,1.0,1.0,1.0,360.0,10.0,0.02,0.0018445884928346022,2.2008063716625657,1.5628635469941536,0.04617810039870067,36,300.0,300.5,0.7512520868113522,0.0,nan,1.0005795730893645,0.0,1,25.59985637664795
ugv,on_failure,0,blind,300.0,1.0,1.0,1.0,360.0,10.0,0.02,0.0018445884928346022,2.302500127808628,1.096982534980473,0.06021793947244778,18,300.0,300.5,0.669449081803005,0.0,nan,1.0058568066117413,-0.5,1,25.157885789871216
ugv,on_failure,1,blind,300.0,1.0,1.0,1.0,360.0,10.0,0.02,0.0018445884928346022,2.6859583199826034,1.6238622415804327,0.0414020104140294,21,300.0,300.5,0.7779632721202003,0.0,nan,1.0001025487908026,0.0,1,26.09065580368042
ugv,on_failure,2,blind,300.0,1.0,1.0,1.0,360.0,10.0,0.02,0.0018445884928346022,0.7717772256966668,1.2529894874242085,0.054969699749529664,18,300.0,300.5,0.664440734557596,0.0,nan,1.0015616156505533,0.0,1,24.97316813468933
ugv,on_failure,3,blind,300.0,1.0,1.0,1.0,360.0,10.0,0.02,0.0018445884928346022,0.9460712280182975,1.9437407319214344,0.10815030392697146,14,300.0,300.5,0.5509181969949917,0.0,nan,1.0054944613979013,0.0,1,25.17922854423523
ugv,on_failure,4,blind,300.0,1.0,1.0,1.0,360.0,10.0,0.02,0.0018445884928346022,2.6590797702075406,1.8998447162828118,0.03263366823411662,11,300.0,300.5,0.7779632721202003,0.0,nan,0.996430090476109,0.0,1,24.870147466659546
ugv,on_failure,5,blind,300.0,1.0,1.0,1.0,360.0,10.0,0.02,0.0018445884928346022,2.089096491653322,0.400036995634462,0.04209092711378756,20,300.0,300.5,0.8547579298831386,0.0,nan,0.9954355754708124,0.0,1,25.563798904418945
ugv,on_failure,6,blind,300.0,1.0,1.0,1.0,360.0,10.0,0.02,0.0018445884928346022,0.3791733781445146,1.7098519044667255,0.013458749552342185,25,300.0,300.5,0.7662771285475793,0.0,nan,1.0115681333378455,0.0,1,25.440834760665894
ugv,on_failure,7,blind,300.0,1.0,1.0,1.0,360.0,10.0,0.02,0.0018445884928346022,1.2775497200477162,2.2246369785316094,0.04035698097329179,13,300.0,300.5,0.7295492487479132,0.0,nan,1.001688902312267,0.0,1,24.99136996269226
ugv,scheduler,0,blind,300.0,1.0,1.0,1.0,360.0,10.0,0.02,0.0018445884928346022,1.3844414679754777,0.3338668949800313,0.06638537348102501,23,300.0,300.5,0.8146911519198664,0.0,nan,1.0010151558965903,1.0,1,24.856770038604736
ugv,scheduler,1,blind,300.0,1.0,1.0,1.0,360.0,10.0,0.02,0.0018445884928346022,1.0348533501682482,0.7793428995973342,0.048698266858933185,22,300.0,300.5,0.8180300500834724,0.0,nan,1.0043281970116031,0.0,1,25.205937147140503
ugv,scheduler,2,blind,300.0,1.0,1.0,1.0,360.0,10.0,0.02,0.0018445884928346022,1.5304365870736092,1.6959007275784763,0.05181336599097079,22,300.0,300.5,0.7996661101836394,0.0,nan,1.000158504474075,1.5,1,25.183029890060425
ugv,scheduler,3,blind,300.0,1.0,1.0,1.0,360.0,10.0,0.02,0.0018445884928346022,0.4196088831801035,2.1311984556582537,0.1233491326206289,22,300.0,300.5,0.6444073455759599,0.0,nan,1.0133209109405565,0.5,1,25.37817931175232
