variant,seed,final_along_m,signed_final_along_m,final_total_m,markers,fixes,fixes_beyond_5m,mean_residual_cm,mean_residual_far_cm,sd_residual_far_cm,mean_sigma_far_cm,mean_gain_far,scale_est
corrected,5,-1.7395157410495088,-1.7395157410495088,2.5031852439605906,20,202,22,-0.38809480342029623,-3.0247662183225956,2.403585354584186,2.7846513779832383,0.3657674726613116,0.9940198502288582
corrected,6,0.05320203580270206,0.05320203580270206,0.8849546945242077,19,194,23,1.0042638095571843,-2.3524083039815977,2.7178119671299608,2.7430160774355095,0.36828331076030624,1.0153703156634681
corrected,7,-0.8041249478596104,-0.8041249478596104,1.3214658486308835,18,180,18,0.1576250714524716,-2.8682395516079278,1.3465222984845804,2.7087020170624707,0.35904107428396836,1.001528620067799
perfect,0,-0.28978559224378614,-0.28978559224378614,0.4197758303971501,19,190,19,0.03652569916191412,0.12317379797946364,1.1585340512701447,2.7800658083283794,0.3534979346715539,1.0009204428085399
perfect,1,1.076516895827474,1.076516895827474,1.3767692177926343,19,195,24,0.3479216617931066,2.4102584624789927,8.630285712835095,2.6901043666563136,0.37910658465332747,1.0060612822272648
perfect,2,-0.16911945727600114,-0.16911945727600114,2.0909174155719294,20,201,21,0.22778329319031862,0.18823377276989026,1.1316119622294598,2.778947577190311,0.3627099808858335,1.0036484868081375
perfect,3,1.8958376003124067,1.8958376003124067,3.4468683232583563,18,180,18,1.2746351841395889,1.4739556524154338,0.6902072021811112,2.750827908190605,0.35358978594543405,1.0228228711357608
perfect,4,-0.9206514692932027,-0.9206514692932027,1.7066076990807364,21,211,22,-0.5213223429106998,-0.22656779288900666,0.8712291460338794,2.711788969083925,0.36108533375932306,0.9906505077618065
perfect,5,-0.5009362773603734,-0.5009362773603734,1.430130877312736,21,212,23,-0.5599157045437569,-0.6552794556121787,0.9404349792318571,2.748545352910269,0.36993065530041275,0.9910331191923212
perfect,6,1.5801402547219643,1.5801402547219643,1.7001020808124567,20,202,22,0.7384526310981411,0.7902315267691468,0.8675793685378788,2.7314832537667053,0.3817061212743911,1.0128770512659249
perfect,7,-0.031135415745409012,-0.031135415745409012,1.2363562949209579,18,180,18,-0.039968754199430884,0.26359120709556216,1.0896977840244255,2.672320275741052,0.368352928725184,0.9991332411139339
thin,0,0.35211732716694166,0.35211732716694166,0.8392839117100619,20,204,24,0.010345965322833755,-3.9743619801269614,2.993756242106057,2.665997637181856,0.38666305642697213,0.9969911192919708
thin,1,0.632453390204143,0.632453390204143,1.1063746349994361,19,190,19,-0.07570637153141163,-2.863939510028606,2.9399708983122776,2.713752168522677,0.36135763183251673,0.997359971516903
thin,2,0.17126277616769492,0.17126277616769492,0.8186177039539415,20,200,20,0.20669629018938945,-4.007499505976234,2.83729483220712,2.7892950757584347,0.34943541403883455,1.0037865365923173
thin,3,2.223691390494148,2.223691390494148,3.769473501538337,18,180,18,1.2723849551133215,-2.5176632032915354,1.8126767102235837,2.7043363860230962,0.3632882285739645,1.021542890209137
thin,4,-0.5761706383327796,-0.5761706383327796,1.8899969467695963,21,210,21,-0.5918264039729729,-4.034338664331617,1.8002587486014392,2.72049665963829,0.3570685615547255,0.9880378639357457
thin,5,-0.44161720595339704,-0.44161720595339704,1.544841306426952,21,210,21,-0.5991827531800595,-5.298739419246699,1.4022328191345639,2.782305514774301,0.34825513400475583,0.989687601838844
thin,6,1.4002147789597563,1.4002147789597563,1.49803892816054,19,190,19,0.6902765133609626,-3.6972096991378613,1.344823526438162,2.7615583715201018,0.3564986093913888,1.012401722265968
thin,7,0.5862510834326881,0.5862510834326881,1.4175380299058833,19,192,21,-0.0923290872426959,-3.9446364822701274,2.4106419022662413,2.644769204871078,0.3773734451560993,0.9983992390103729
