policy,seed,gicp_ratio_floor,markers_placed,final_drift_m,final_along_m,final_lateral_m,final_rot_rad,max_drift_m,drift_per_100m,path_length_m,landmark_steps
on_failure,7,0.001880742349913549,42,2.753692369377697,1.6436157229335322,2.209377518780943,0.01344053024098719,2.753692369377697,0.9178974564592324,300.0,415
scheduler,0,0.001880742349913549,38,1.3799706835728904,1.0919564883648718,0.8437713641967757,0.013059585624868185,1.3799706835728904,0.4599902278576301,300.0,380
scheduler,1,0.001880742349913549,33,1.5113903767515497,0.9920589784527465,1.1402279834351043,0.025023365024029718,1.5156429796135662,0.5037967922505167,300.0,330
scheduler,2,0.001880742349913549,49,3.027066679427052,1.4714202588545504,2.645383734646058,0.02108814210089361,3.027066679427052,1.009022226475684,300.0,490
scheduler,3,0.001880742349913549,48,0.7675274744007758,0.6595633709893605,0.3925233542213568,0.05480259398214462,0.7675274744007758,0.2558424914669253,300.0,480
scheduler,4,0.001880742349913549,35,3.452552289599076,3.078632822236841,1.562733905136075,0.011399364561281683,3.496226693722942,1.150850763199692,300.0,350
scheduler,5,0.001880742349913549,35,3.116613071402005,3.0561918437404643,0.6107114302910159,0.031242417299202668,3.164793623323021,1.0388710238006684,300.0,350
scheduler,6,0.001880742349913549,49,1.172574933963629,0.7724495366491624,0.882186878779266,0.03146094944136821,1.172574933963629,0.39085831132120974,300.0,490
scheduler,7,0.001880742349913549,49,2.7018674025058105,1.7064707276707054,2.0947661244937366,0.011101797128285424,2.7065434227750553,0.9006224675019369,300.0,490
oracle_12,0,0.001880742349913549,12,0.9142553199661846,0.3239610645741209,0.8549339265267655,0.010352384529980755,0.9142553199661846,0.30475177332206155,300.0,120
oracle_12,1,0.001880742349913549,12,2.2143177918554993,1.0211274830220987,1.964816008369427,0.018855899346079626,2.2143177918554993,0.7381059306184997,300.0,120
oracle_12,2,0.001880742349913549,12,2.7040153857915565,0.3958121161749659,2.67488915196248,0.01654407936709779,2.7040153857915565,0.9013384619305189,300.0,120
oracle_12,3,0.001880742349913549,12,8.896094301721298,8.693910605840586,1.8858452223792732,0.047483913050889615,8.912984181740105,2.9653647672404326,300.0,120
oracle_12,4,0.001880742349913549,12,3.9469760719906493,3.5563211897655833,1.7120746794725514,0.010961489761461383,3.9469760719906493,1.3156586906635497,300.0,120
oracle_12,5,0.001880742349913549,12,3.9204145152306316,3.8757672377836343,0.5899816011996005,0.022171575300265166,3.950475155333359,1.3068048384102104,300.0,120
oracle_12,6,0.001880742349913549,12,4.44709700246444,4.291247814769122,1.1669892636898753,0.029907022217317492,4.450602775320423,1.4823656674881465,300.0,120
oracle_12,7,0.001880742349913549,12,2.456451534591502,0.6515150967701402,2.3684767722056175,0.014711047972072549,2.456451534591502,0.8188171781971674,300.0,120
